asteroid	/ˈæs.tər.ɔɪd/	noun [ C ]		one of many large rocks that circle the sun							output/1588410692-u10_nouns/1-asteroid-media-english-uk_pron-u-uka-ukass-ukassiz021.mp3
astronaut	/ˈæs.trə.nɔːt/	noun [ C ]		a person who has been trained for travelling in space					cosmonaut		output/1588410692-u10_nouns/2-astronaut-media-english-uk_pron-u-uka-ukast-ukaston017.mp3
atmosphere	/ˈæt.mə.sfɪər/	noun (AIR)	[ C ]	a mixture of gases that surrounds any planet		 (1) the search for planets with a breathable atmosphere					output/1588410692-u10_nouns/3-atmosphere-media-english-uk_pron-u-uka-ukasu-ukasund024.mp3
atmosphere	/ˈæt.mə.sfɪər/	noun (AIR)	B2 [ S ]	the air that you breathe in a place		(1) The atmosphere in the room was so stuffy I could hardly breathe. (2) A few plants in an office will improve the atmosphere.					output/1588410692-u10_nouns/3-atmosphere-media-english-uk_pron-u-uka-ukasu-ukasund024.mp3
atmosphere	/ˈæt.mə.sfɪər/	noun (MOOD)	B1 [ S ]	the character, feeling, or mood of a place or situation		(1) There's a very relaxed atmosphere in our office. (2) There has been an atmosphere of gloom in the factory since it was announced that it would be closing.					output/1588410692-u10_nouns/3-atmosphere-media-english-uk_pron-u-uka-ukasu-ukasund024.mp3
atmosphere	/ˈæt.mə.sfɪər/	noun (MOOD)	[ U ] approving	a feeling that a place has of being pleasant and interesting or exciting		(1) You want a restaurant that serves good food but has a little atmosphere too. (2) He put on some soft music and turned the lights down in order to give the room a little more atmosphere.					output/1588410692-u10_nouns/3-atmosphere-media-english-uk_pron-u-uka-ukasu-ukasund024.mp3
the cosmos	/ˈkɒz.mɒs/	noun [ S ]		the universe considered as a system with an order and pattern							output/1588410692-u10_nouns/4-the-cosmos-media-english-uk_pron-u-ukc-ukcor-ukcorru030.mp3
crater	/ˈkreɪ.tər/	noun [ C ]		the round hole at the top of a volcano, or a hole in the ground similar to this		(1) the huge crater of Vesuvius (2) a bomb crater (3) With a good telescope, you can see craters on the moon.				cratered	output/1588410692-u10_nouns/5-crater-media-english-uk_pron-u-ukc-ukcra-ukcraps008.mp3
debris	/ˈdeb.riː/	noun [ U ]		broken or torn pieces of something larger		 (1) Debris from the aircraft was scattered over a large area.	detritus (formal)				output/1588410692-u10_nouns/6-debris-media-english-uk_pron-u-ukd-ukdea-ukdeath022.mp3
earth	/ɜːθ/	noun (PLANET)	B1 [ S or U ] (also Earth)	the planet third in order of distance from the sun, between Venus and Mars; the world on which we live		(1) The earth takes approximately 3651/4 days to go round the sun. (2) The circus has been described as the greatest show on earth (= in the world). (3) Mercury, Venus, Earth, and Mars are called "rocky planets".					output/1588410692-u10_nouns/7-earth-media-english-uk_pron-u-uke-ukear-ukearma015.mp3
earth	/ɜːθ/	noun (GROUND)	B2 [ S or U ]	the land surface of the world rather than the sky or sea		(1) The earth was shaking and people rushed out of their houses in panic. (2) He had enjoyed the voyage but was happy to feel the earth beneath his feet once more.					output/1588410692-u10_nouns/7-earth-media-english-uk_pron-u-uke-ukear-ukearma015.mp3
